frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_text
419,149.0,"[686.2240085114354, 671.4332213397532, 933.0059724203934, 1060.9796521024432]","[753.8941650390625, 786.3834228515625, 856.9593505859375, 852.1790771484375]","59-V3
305.99"
419,199.0,"[63.64289899024217, 467.68945820867964, 228.57554585114198, 702.746273359597]","[81.01824951171875, 557.519775390625, 128.76235961914062, 590.6192626953125]","59-Y4
055.07"
419,174.0,"[537.1138807470999, 505.4088212934811, 684.941696336471, 715.0042845375771]","[589.9813232421875, 597.4894409179688, 631.112548828125, 625.271240234375]","59-TY
879.51"
420,149.0,"[701.8254486730798, 668.8378130776755, 948.7151708527442, 1055.9770292717672]","[766.9696655273438, 786.078857421875, 867.6432495117188, 849.8787841796875]","59-V3
305.99"
420,199.0,"[86.85770264345776, 471.88596001874794, 250.7814039545546, 700.7126731824942]","[100.7175064086914, 555.3341064453125, 148.990234375, 590.469482421875]","9Y-E0
550.71"
421,149.0,"[713.3259925093713, 667.9611360731035, 958.8527576796747, 1053.411344289645]","[774.2255859375, 785.4168090820312, 874.4666748046875, 848.4611206054688]","59-V3
305.99"
421,199.0,"[106.67637578408473, 473.992498857849, 268.3627443782699, 698.5490773185746]","[115.55625915527344, 556.056884765625, 168.11846923828125, 589.8579711914062]",94YA405501
422,149.0,"[719.5661787833915, 668.9252385948571, 967.570994650712, 1051.4017026779454]","[783.8596801757812, 779.5469970703125, 886.9557495117188, 844.71826171875]","59-V3
305.99"
422,199.0,"[129.37773129371374, 474.26755783616983, 291.0791272268157, 695.2945252642104]","[138.33750915527344, 555.2275390625, 191.07769775390625, 585.9822998046875]","59-E7
055.01"
423,149.0,"[727.6786411536127, 664.477807423606, 978.3712469603627, 1046.2244238713736]","[796.0447998046875, 778.3840942382812, 897.03369140625, 843.0247192382812]","59-V3
305.99"
423,199.0,"[152.87886080689935, 467.4112762651042, 314.4053395792897, 689.3444636325722]","[162.1806640625, 554.0037231445312, 213.29962158203125, 582.0576782226562]","9Y-E0
5507"
424,149.0,"[741.5529758624621, 659.4864026580674, 992.1698350947759, 1040.1687155472382]","[805.7246704101562, 772.9528198242188, 909.5963745117188, 835.9125366210938]","59-V3
305.99"
424,199.0,"[174.85263027088013, 458.01845156602656, 335.34922499648457, 682.7558512316504]","[192.86590576171875, 552.5606689453125, 233.87603759765625, 580.7607421875]","59-E0
5507"
425,149.0,"[749.0930379429243, 655.9190377547136, 998.3197436085892, 1035.2191832939286]","[815.9359130859375, 767.8922119140625, 916.200439453125, 829.6430053710938]","59-V3
305.99"
426,149.0,"[757.3435376361806, 643.5525582677918, 1005.7265100258212, 1024.169346858912]","[823.624755859375, 756.6814575195312, 926.050537109375, 821.5517578125]","59-V3
305.99"
